CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10063,1807.2956527150511,0.6998871122448344,5659.444428212523,7054.121103633439,2448.849667463162,751.5546887580481,0.8257094245457903,0.9425728119789116,0.8131728820989758,0.3435278099948759,1,72,6489.8833720916255,3441.3602647065545,173.47359077432608,0.027441717743099402,9
C10309,942.7148221000444,0.9455252526357154,5733.566465602813,852.9784459215522,1786.7218736159066,62.9117386853359,0.8719048113581501,0.615864736691729,0.4427115612826918,0.3022222791114878,0,37,2986.002275106165,3370.1110737914305,97.32938001593618,0.13940811196693897,11
C11212,738.8057358081693,0.862624421716455,4015.3710901022696,1432.1127448462562,816.5595188498002,76.85943459320863,0.7810831799255924,0.6554927157638507,0.6043179683976116,0.0018283464474971151,0,30,3024.3429285599614,1825.121733712222,30.93264377131647,0.3075857788684204,8
C13020,610.3481599821841,0.2317405904786461,344.43778978349474,242.29567763393152,167.02195679825456,195.99686007320557,0.5013345170074825,0.22038450824112932,0.09306805405892894,0.39342537369270736,1,5,3074.1430673269633,355.89613489483366,27.30387391670945,0.4104563032697723,11
C13480,777.2698794525686,0.24038205267240143,625.0326052224468,88.20475762696375,93.60664815918946,17.46825173152692,0.5477549789554709,0.2144367994351694,0.5674720898469285,0.12633908578270478,0,3,1956.5929733615576,500.1552291794071,43.844613720969804,0.15855609485533106,6
C10946,3193.1164060636993,0.3905673704756267,1610.7263880149285,36.17647465842714,257.48545238976675,1440.0626515177546,0.49952732022552593,0.7618369013181089,0.3123677721032007,0.4238819418407979,5,5,13679.197917252042,1734.2404729666282,208.2226404672165,0.1591313003334946,8
C10880,554.612673137412,0.6628295310881105,1726.367700025417,1077.8536954772417,2908.394483492968,77.074542458693,0.5218401880169635,0.9032453950722719,0.8983437426985801,0.00844266877520434,0,35,6411.158059015736,1261.6853058675547,69.68867766402772,0.3328992461372624,10
C12472,972.7744989238722,0.33284521274260137,230.92148682580293,347.32068624656256,54.14012771787248,279.1446230709706,0.48484716865818694,0.5578121737153877,0.2645987745529814,0.2559932050180287,0,3,4565.291605744855,221.54207201947045,29.987313157002582,0.31022964126490943,6
C12886,400.0539647696739,0.2897756619564989,341.8118631195096,28.935533235569665,138.13665230659976,336.6591487725559,0.36498441451442165,0.28166707668308744,0.12231720560916738,0.3514353948361454,0,2,3299.126743529032,345.16012965055694,38.5541820509996,0.01777319607162216,8
C10592,1281.4635662082574,0.9235444677738331,1191.243254846488,2002.731156884817,1963.141992959661,87.10430813204627,0.7743960744494506,0.3697036600741896,0.7020001850739525,0.009707569652726171,0,25,4459.486870230821,3589.926481263892,75.16305293281756,0.04987751768658785,9
C12834,445.2013836341392,0.33612583868238516,149.05379916103698,205.8638375752899,115.92743059709703,262.2316081349036,0.6627097476534288,0.028584115860709896,0.17651093842477547,0.018395131662869883,0,2,6488.986819948206,388.8193846727826,52.13786617411097,0.028335310922468625,12
C10188,4495.963758808152,0.6888826391629311,950.4690910159663,1009.0407246214895,92.79322450241298,2360.422446407517,0.332912162459853,0.21129323710689402,0.18219585647127437,0.4352698629937434,5,12,13777.493022560786,915.3778599092489,631.5254001950916,0.19120872054240462,7
C11011,763.4788131268651,0.12037088884327096,434.5061667553055,313.25967349098926,130.0216538365501,69.00978161873587,0.21463313646572207,0.2565817785101796,0.3858978493697606,0.07837624772870444,0,5,4059.1182643153356,386.9603595571302,47.151591150178156,0.3117892663252466,6
C12987,475.45821328085515,0.1493116991943182,384.0793927305769,183.89113413869157,187.24981338639668,219.09343593923666,0.5600771272546716,0.524620230160737,0.2569273046425802,0.05919345439737274,1,7,4390.6724948564415,523.1568616390302,48.80201793292478,0.04797674298582073,8
